house_bill_number,title,significance,date_filed,principal_authors,date_read,primary_referral,mother_bill_status,status
HB06324,"AN ACT CREATING TWO (2) ADDITIONAL BRANCHES OF THE REGIONAL TRIAL COURT IN THE FIFTH JUDICIAL REGION TO BE STATIONED IN THE MUNICIPALITIES OF DAET AND LABO, PROVINCE OF CAMARINES NORTE, AND APPROPRIATING FUNDS THEREFOR, AMENDING FOR THE PURPOSE SECTON 14(F) OF BATAS PAMBANSA BLG. 129, OTHERWISE KNOWN AS 'THE JUDICIARY REORGANIZATION ACT OF 1980', AS AMENDED",NATIONAL,2020-02-18,"PANOTES, MARISOL C.; VELOSO, VICENTE III ""CHING"" S.E.; UNGAB, ISIDRO T.; GARBIN, ALFREDO JR. A.; CUA, JUNIE E.; JALOSJOS, ROMEO JR. M.; CUARESMA, LUISA LLOREN; CALDERON, PETER JOHN D.; SUAREZ, DAVID ""JAY-JAY"" C.; ALVAREZ, GENARO JR. M.; BALINDONG, YASSER ALONTO; BENITEZ, JOSE FRANCISCO ""KIKO"" B.; BORDADO, GABRIEL JR. H.; CAMINERO, WILFREDO ""WILLY"" S.; DY, IAN PAUL L.; GO, MARK O.; LABADLABAD, GLONA G.; ORTEGA, PABLO C.; ROMULO, ROMAN T.; TALLADO, JOSEFINA B.; TAN, ANGELINA ""HELEN"" D.L. M.D.; TUTOR, KRISTINE ALEXIE B.; ",2020-02-19,JUSTICE,,"Approved by the House on 2020-05-06, transmitted to the Senate on 2020-05-11 and received by the Senate on 2020-05-11"
HB06325,"AN ACT CREATING EIGHT (8) ADDITIONAL BRANCHES OF THE REGIONAL TRIAL COURT IN THE NATIONAL CAPITAL JUDICIAL REGION TO BE STATIONED IN THE CITY OF CALOOCAN AND APPROPRIATING FUNDS THEREFOR, AMENDING FOR THE PURPOSE SECTION 14(D) OF BATAS PAMBANSA BLG. 129, OTHERWISE KNOWN AS 'THE JUDICIARY REORGANIZATION ACT OF 1980', AS AMENDED",NATIONAL,2020-02-18,"MALAPITAN, DALE ""ALONG"" R.; VELOSO, VICENTE III ""CHING"" S.E.; UNGAB, ISIDRO T.; GARBIN, ALFREDO JR. A.; CUA, JUNIE E.; JALOSJOS, ROMEO JR. M.; CUARESMA, LUISA LLOREN; CALDERON, PETER JOHN D.; SUAREZ, DAVID ""JAY-JAY"" C.; ALVAREZ, GENARO JR. M.; BALINDONG, YASSER ALONTO; BENITEZ, JOSE FRANCISCO ""KIKO"" B.; BORDADO, GABRIEL JR. H.; CAMINERO, WILFREDO ""WILLY"" S.; DY, IAN PAUL L.; GO, MARK O.; LABADLABAD, GLONA G.; ORTEGA, PABLO C.; PANOTES, MARISOL C.; ROMULO, ROMAN T.; TALLADO, JOSEFINA B.; TAN, ANGELINA ""HELEN"" D.L. M.D.; TUTOR, KRISTINE ALEXIE B.; ",2020-02-19,JUSTICE,,"Approved by the House on 2020-05-06, transmitted to the Senate on 2020-05-11 and received by the Senate on 2020-05-11"
HB06326,"AN ACT CREATING ONE (1) ADDITIONAL BRANCH OF THE REGIONAL TRIAL COURT IN THE SEVENTH JUDICIAL REGION TO BE STATIONED IN THE MUNICIPALITY OF MOALBOAL, PROVINCE OF CEBU, AND APPROPRIATING FUNDS THEREFOR, AMENDING FOR THE PURPOSE SECTION 14(H) OF BATAS PAMBANSA BLG. 129, OTHERWISE KNOWN AS 'THE JUDICIARY REORGANIZATION ACT OF 1980', AS AMENDED",NATIONAL,2020-02-18,"CALDERON, PETER JOHN D.; SAVELLANO, DEOGRACIAS VICTOR ""DV"" B.; VELOSO, VICENTE III ""CHING"" S.E.; UNGAB, ISIDRO T.; CUA, JUNIE E.; JALOSJOS, ROMEO JR. M.; CUARESMA, LUISA LLOREN; SUAREZ, DAVID ""JAY-JAY"" C.; ALVAREZ, GENARO JR. M.; BALINDONG, YASSER ALONTO; BENITEZ, JOSE FRANCISCO ""KIKO"" B.; BORDADO, GABRIEL JR. H.; CAMINERO, WILFREDO ""WILLY"" S.; DY, IAN PAUL L.; GO, MARK O.; LABADLABAD, GLONA G.; ORTEGA, PABLO C.; PANOTES, MARISOL C.; ROMULO, ROMAN T.; TALLADO, JOSEFINA B.; TAN, ANGELINA ""HELEN"" D.L. M.D.; TUTOR, KRISTINE ALEXIE B.; ",2020-02-19,JUSTICE,,"Approved by the House on 2020-05-06, transmitted to the Senate on 2020-05-11 and received by the Senate on 2020-05-11"
HB06327,"AN ACT CREATING TWO (2) ADDITIONAL BRANCHES OF THE REGIONAL TRIAL COURT AND FIVE (5) ADDITIONAL BRANCHES OF THE MUNICIPAL TRIAL COURT IN CITIES IN THE NINTH JUDICIAL REGION TO BE STATIONED IN THE PROVINCE OF ZAMBOANGA DEL NORTE, AND APPROPRIATING FUNDS THEREFOR, AMENDING FOR THE PURPOSE SECTIONS 14(J) AND 29 OF BATAS PAMBANSA BLG. 129, OTHERWISE KNOWN AS 'THE JUDICIARY REORGANIZATION ACT OF 1980', AS AMENDED",NATIONAL,2020-02-18,"LABADLABAD, GLONA G.; VELOSO, VICENTE III ""CHING"" S.E.; UNGAB, ISIDRO T.; GARBIN, ALFREDO JR. A.; CUA, JUNIE E.; JALOSJOS, ROMEO JR. M.; CUARESMA, LUISA LLOREN; CALDERON, PETER JOHN D.; SUAREZ, DAVID ""JAY-JAY"" C.; ALVAREZ, GENARO JR. M.; BALINDONG, YASSER ALONTO; BENITEZ, JOSE FRANCISCO ""KIKO"" B.; BORDADO, GABRIEL JR. H.; CAMINERO, WILFREDO ""WILLY"" S.; DY, IAN PAUL L.; GO, MARK O.; ORTEGA, PABLO C.; PANOTES, MARISOL C.; ROMULO, ROMAN T.; TALLADO, JOSEFINA B.; TAN, ANGELINA ""HELEN"" D.L. M.D.; TUTOR, KRISTINE ALEXIE B.; ",2020-02-19,JUSTICE,,"Approved by the House on 2020-05-06, transmitted to the Senate on 2020-05-11 and received by the Senate on 2020-05-11"
HB06328,"AN ACT CREATING ONE (1) ADDITIONAL BRANCH OF THE REGIONAL TRIAL COURT IN THE SIXTH JUDICIAL REGION TO BE STATIONED IN THE CITY OF VICTORIAS, PROVINCE OF NEGROS OCCIDENTAL, AND APPROPRIATING FUNDS THEREFOR, AMENDING FOR THE PURPOSE SECTION 14(G) OF BATAS PAMBANSA BLG. 129, OTHERWISE KNOWN AS 'THE JUDICIARY REORGANIZATION ACT OF 1980', AS AMENDED",NATIONAL,2020-02-18,"BENITEZ, JOSE FRANCISCO ""KIKO"" B.; VELOSO, VICENTE III ""CHING"" S.E.; UNGAB, ISIDRO T.; CUA, JUNIE E.; JALOSJOS, ROMEO JR. M.; CUARESMA, LUISA LLOREN; CALDERON, PETER JOHN D.; SUAREZ, DAVID ""JAY-JAY"" C.; ALVAREZ, GENARO JR. M.; BALINDONG, YASSER ALONTO; BORDADO, GABRIEL JR. H.; CAMINERO, WILFREDO ""WILLY"" S.; DY, IAN PAUL L.; GO, MARK O.; ORTEGA, PABLO C.; LABADLABAD, GLONA G.; PANOTES, MARISOL C.; ROMULO, ROMAN T.; TALLADO, JOSEFINA B.; TAN, ANGELINA ""HELEN"" D.L. M.D.; TUTOR, KRISTINE ALEXIE B.; ",2020-02-19,JUSTICE,,"Approved by the House on 2020-05-06, transmitted to the Senate on 2020-05-11 and received by the Senate on 2020-05-11"
HB06329,"AN ACT CREATING FOUR (4) ADDITIONAL BRANCHES OF THE REGIONAL TRIAL COURT IN THE FOURTH JUDICIAL REGION TO BE STATIONED IN THE MUNICIPALITIES OF ROSARIO AND SAN JUAN, PROVINCE OF BATANGAS, AND APPROPRIATING FUNDS THEREFOR,AMENDING FOR THE PURPOSE SECTION 14(E) OF BATAS PAMBANSA BLG. 129, OTHERWISE KNOWN AS 'THE JUDICIARY REORGANIZATION ACT OF 1980', AS AMENDED",NATIONAL,2020-02-18,"BOLILIA, LIANDA B.; VELOSO, VICENTE III ""CHING"" S.E.; UNGAB, ISIDRO T.; CUA, JUNIE E.; JALOSJOS, ROMEO JR. M.; CUARESMA, LUISA LLOREN; CALDERON, PETER JOHN D.; SUAREZ, DAVID ""JAY-JAY"" C.; ALVAREZ, GENARO JR. M.; BALINDONG, YASSER ALONTO; BENITEZ, JOSE FRANCISCO ""KIKO"" B.; BORDADO, GABRIEL JR. H.; CAMINERO, WILFREDO ""WILLY"" S.; DY, IAN PAUL L.; GO, MARK O.; LABADLABAD, GLONA G.; ORTEGA, PABLO C.; PANOTES, MARISOL C.; ROMULO, ROMAN T.; TALLADO, JOSEFINA B.; TAN, ANGELINA ""HELEN"" D.L. M.D.; TUTOR, KRISTINE ALEXIE B.; ",2020-02-19,JUSTICE,,"Approved by the House on 2020-05-06, transmitted to the Senate on 2020-05-11 and received by the Senate on 2020-05-11"
HB06330,"AN ACT CREATING FIVE (5) ADDITIONAL BRANCHES OF THE REGIONAL TRIAL COURT IN THE SIXTH JUDICIAL REGION TO BE STATIONED IN THE CITY OF KABANKALAN, PROVINCE OF NEGROS OCCIDENTAL, AND APPROPRIATING FUNDS THEREFOR, AMENDING FOR THE PURPOSE SECTION 14(G) OF BATAS PAMBANSA BLG. 129, OTHERWISE KNOWN AS 'THE JUDICIARY REORGANIZATION ACT OF 1980', AS AMENDED",NATIONAL,2020-02-18,"ALVAREZ, GENARO JR. M.; VELOSO, VICENTE III ""CHING"" S.E.; UNGAB, ISIDRO T.; GARBIN, ALFREDO JR. A.; CUA, JUNIE E.; JALOSJOS, ROMEO JR. M.; CUARESMA, LUISA LLOREN; CALDERON, PETER JOHN D.; SUAREZ, DAVID ""JAY-JAY"" C.; BALINDONG, YASSER ALONTO; BENITEZ, JOSE FRANCISCO ""KIKO"" B.; BORDADO, GABRIEL JR. H.; CAMINERO, WILFREDO ""WILLY"" S.; DY, IAN PAUL L.; GO, MARK O.; LABADLABAD, GLONA G.; ORTEGA, PABLO C.; PANOTES, MARISOL C.; ROMULO, ROMAN T.; TALLADO, JOSEFINA B.; TAN, ANGELINA ""HELEN"" D.L. M.D.; TUTOR, KRISTINE ALEXIE B.; ",2020-02-19,JUSTICE,,"Approved by the House on 2020-05-06, transmitted to the Senate on 2020-05-11 and received by the Senate on 2020-05-11"
HB06331,"AN ACT PROVIDING FOR THE MANDATORY APPOINTMENT OF A MUNICIPAL VETERINARIAN OFFICER, AMENDING FOR THE PURPOSE CERTAIN PROVISIONS OF REPUBLIC ACT NO. 7160 OTHERWISE KNOWN AS 'AN ACT PROVIDING FOR A LOCAL GOVERNMENT CODE OF 1991'",NATIONAL,2020-02-18,"CULLAMAT, EUFEMIA ""KA FEMIA"" C.; ZARATE, CARLOS ISAGANI T.; GAITE, FERDINAND R.; BROSAS, ARLENE D.; CASTRO, FRANCE L.; ELAGO, SARAH JANE I.; ",2020-02-24,LOCAL GOVERNMENT,,Pending with the Committee on LOCAL GOVERNMENT since 2020-02-24
HB06332,AN ACT PROVIDING FOR THE ELECTION OF SECTORAL REPRESENTATIVES TO THE LEGISLATIVE BODIES OF LOCAL GOVERNMENT UNITS,NATIONAL,2020-02-18,"CULLAMAT, EUFEMIA ""KA FEMIA"" C.; ZARATE, CARLOS ISAGANI T.; GAITE, FERDINAND R.; ",2020-02-24,LOCAL GOVERNMENT,Business for the day on 2021-09-01,Substituted by HB10022
HB06333,"AN ACT COMMEMORATING THE CITYHOOD OF SAN JOSE DEL MONTE, PROVINCE OF BULACAN THROUGH THE ANNUAL CELEBRATION OF THE TANGLAWAN FESTIVAL ON THE OCCASION OF ITS FOUNDATION DAY ON SEPTEMBER 10, AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 9750",LOCAL,2020-02-18,"ROBES, FLORIDA ""RIDA"" P.",2020-02-19,LOCAL GOVERNMENT,,"Approved by the House on 2020-03-09, transmitted to the Senate on 2020-03-11 and received by the Senate on 2020-03-11"
HB06334,"AN ACT STRENGTHENING EARLY CHILDHOOD CARE AND DEVELOPMENT SYSTEM, REVISING FOR THE PURPOSE REPUBLIC ACT NO. 10410, OTHERWISE KNOWN AS THE ""EARLY YEARS ACT OF 2013"", AND APPROPRIATING FUNDS THEREFOR",NATIONAL,2020-02-18,"TALLADO, JOSEFINA B.",2020-02-24,WELFARE OF CHILDREN,,Pending with the Committee on WELFARE OF CHILDREN since 2020-02-24
HB06335,"AN ACT PROHIBITING THE IMPORTATION, MANUFACTURE, DISTRIBUTION AND SALE OF CHILDREN'S PRODUCTS CONTAINING HAZARDOUS CHEMICALS, AND PROVIDING PENALTIES FOR VIOLATION THEREOF",NATIONAL,2020-02-19,"BARBA, ANGELO MARCOS",2020-02-24,WELFARE OF CHILDREN,,Pending with the Committee on WELFARE OF CHILDREN since 2020-02-24
HB06336,"AN ACT ESTABLISHING A REVENUE DISTRICT OFFICE OF THE BUREAU OF INTERNAL REVENUE IN THE CITY OF TANAUAN, PROVINCE OF BATANGAS AND APPROPRIATING FUNDS THEREFOR",LOCAL,2020-02-19,"COLLANTES, MA. THERESA V.",2020-02-24,WAYS AND MEANS,,Pending with the Committee on WAYS AND MEANS since 2020-02-24
HB06337,"AN ACT ESTABLISHING A PAG-IBIG FUND FIELD OFFICE IN TANAUAN CITY, PROVINCE OF BATANGAS AND APPROPRIATING FUNDS THEREFOR",LOCAL,2020-02-19,"COLLANTES, MA. THERESA V.",2020-02-24,HOUSING AND URBAN DEVELOPMENT,,Pending with the Committee on HOUSING AND URBAN DEVELOPMENT since 2020-02-24
HB06338,"AN ACT ESTABLISHING A CAMPUS OF THE CENTRAL BICOL STATE UNIVERSITY OF AGRICULTURE (CBSUA) IN THE MUNICIPALITY OF DEL GALLEGO, PROVINCE OF CAMARINES SUR, TO BE KNOWN AS CBSUA-DEL GALLEGO CAMPUS, AND APPROPRIATING FUNDS THEREFOR",LOCAL,2020-02-19,"ANDAYA, MARISSA",2020-02-24,HIGHER AND TECHNICAL EDUCATION,,Pending with the Committee on HIGHER AND TECHNICAL EDUCATION since 2020-02-24
HB06339,AN ACT STRENGTHENING THE FILIPINO YOUTH INVOLVEMENT IN AGRICULTURE AND ENTREPRENEURSHIP,NATIONAL,2020-02-19,"TAN, SHAREE ANN T.",2020-02-24,AGRICULTURE AND FOOD,,Pending with the Committee on AGRICULTURE AND FOOD since 2021-03-09
HB06340,AN ACT CREATING A COMPREHENSIVE POLICY ENABLING YOUTH PARTICIPATION IN ADOLESCENT PREGNANCY PREVENTION,NATIONAL,2020-02-19,"TAN, SHAREE ANN T.",2020-02-24,YOUTH AND SPORTS DEVELOPMENT,,Pending with the Committee on YOUTH AND SPORTS DEVELOPMENT since 2020-02-24
HB06341,"AN ACT MAKING THE POSITION OF BARANGAY SECRETARY AND BARANGAY TREASURER PERMANENT AND AS SUCH ENTITLED TO SECURITY OF TENURE, BENEFITS AND FOR OTHER PURPOSES",NATIONAL,2020-02-19,"CHATTO, EDGAR M.",2020-02-24,LOCAL GOVERNMENT,,Pending with the Committee on LOCAL GOVERNMENT since 2020-02-24
HB06342,"AN ACT ESTABLISHING A MULTI-SPECIES MARINE HATCHERY IN  THE MUNICIPALITY OF BILIRAN, PROVINCE OF BILIRAN AND APPROPRIATING FUNDS THEREFOR",LOCAL,2020-02-19,"ESPINA, GERARDO ""GERRYBOY"" JR. J.",2020-02-24,AQUACULTURE AND FISHERIES RESOURCES,"Approved by the House on 2020-12-16, transmitted to the Senate on 2020-12-17 and received by the Senate on 2020-12-17",Substituted by HB08081
HB06343,"AN ACT RENEWING FOR ANOTHER TWENTY-FIVE (25) YEARS THE FRANCHISE GRANTED TO MATI TELEPHONE CORPORATION UNDER REPUBLIC ACT NO. 8675, ENTITLED ""AN ACT GRANTING THE MATI TELEPHONE CORPORATION, A FRANCHISE TO CONSTRUCT, INSTALL, ESTABLISH, OPERATE AND MAINTAIN LOCAL EXCHANGE NETWORK IN THE PROVINCE OF DAVAO ORIENTAL AND ALL CITIES THEREIN""",LOCAL,2020-02-19,"ALMARIO, JOEL MAYO Z.",2020-02-24,LEGISLATIVE FRANCHISES,"Approved by the House on 2021-03-17, transmitted to the Senate on 2021-03-24 and received by the Senate on 2021-03-24",Substituted by HB08871
HB06344,"AN ACT CREATING A BARANGAY TO BE KNOWN AS BARANGAY BUTAC IN MUNICIPALITY OF SUYO, PROVINCE OF ILOCOS SUR",LOCAL,2020-02-19,"SINGSON-MEEHAN, KRISTINE",2020-02-24,LOCAL GOVERNMENT,"Approved by the House on 2021-02-10, transmitted to the Senate on 2021-02-11 and received by the Senate on 2021-02-11",Substituted by HB08560
HB06345,AN ACT REGULATING THE PRACTICE OF AGRICULTURE PROFESSION IN THE PHILIPPINES CREATING FOR THE PURPOSE A PROFESSIONAL REGULATORY BOARD FOR AGRICULTURISTS AND APPROPRIATING FUNDS THEREFOR,NATIONAL,2020-02-19,"BORDADO, GABRIEL JR. H.",2020-02-24,CIVIL SERVICE AND PROFESSIONAL REGULATION,,Pending with the Committee on CIVIL SERVICE AND PROFESSIONAL REGULATION since 2020-02-24
HB06346,"AN ACT RENEWING THE FRANCHISE GRANTED TO THE UNIVERSITY OF THE PHILIPPINES SYSTEM TO CONSTRUCT, ESTABLISH, MAINTAIN, AND OPERATE FOR EDUCATIONAL AND OTHER RELATED PURPOSES, RADIO AND TELEVISION BROADCASTING STATIONS WITHIN THE UNIVERSITY OF THE PHILIPPINES AND IN SUCH OTHER AREAS WITHIN THE SCOPE OF ITS OPERATION, UNDER REPUBLIC ACT NO. 8160, TO ANOTHER TWENTY-FIVE (25) YEARS",NATIONAL,2020-02-19,"GO, MARK O.",2020-02-24,LEGISLATIVE FRANCHISES,Republic Act RA11540 enacted on 2021-05-18,Substituted by HB07616
HB06347,AN ACT ESTABLISHING A MEDICAL SCHOLARSHIP AND RETURN SERVICE PROGRAM FOR DESERVING STUDENTS AND APPROPRIATING FUNDS THEREFOR,NATIONAL,2020-02-19,"YAP, ERIC G.",2020-02-24,HIGHER AND TECHNICAL EDUCATION,Republic Act RA11509 enacted on 2020-12-23,Substituted by HB06756
HB06348,"AN ACT GRANTING SURVIVORSHIP BENEFITS TO THE SURVIVING LEGITIMATE SPOUSE AND DEPENDENT CHILDREN OF A DECEASED RETIRED MEMBER OF THE NATIONAL PROSECUTION SERVICE (NPS), APPROPRIATING FUNDS THEREFOR AND FOR OTHER PURPOSES",NATIONAL,2020-02-19,"FLORES, JONATHAN KEITH T.",2020-02-24,JUSTICE,"Approved by the House on 2021-06-01, transmitted to the Senate on 2021-06-02 and received by the Senate on 2021-06-02",Substituted by HB09087
HB06349,"AN ACT TO STRENGTHEN THE ROLE OF PRIVATE BASIC EDUCATION IN THE PHILIPPINES BY CREATING FOR THE PURPOSE THE PARTNERSHIP IN PRIVATE EDUCATION BOARD, AND THE PARTNERSHIP FUND FOR PRIVATE EDUCATION, APPROPRIATING FUNDS THEREOF, AND FOR OTHER PURPOSES",NATIONAL,2020-02-19,"ROMUALDEZ, YEDDA MARIE K.; ROMUALDEZ, FERDINAND MARTIN G.; ",2020-02-24,BASIC EDUCATION AND CULTURE,,Pending with the Committee on BASIC EDUCATION AND CULTURE since 2020-02-24
HB06350,"AN ACT GRANTING THE CITY GOVERNMENT OF DAVAO, A FRANCHISE TO CONSTRUCT, INSTALL, ESTABLISH, OPERATE AND MAINTAIN RADIO BROADCASTING STATIONS IN DAVAO CITY AND OTHER AREAS IN THE DAVAO REGION",LOCAL,2020-02-19,"ROMUALDEZ, FERDINAND MARTIN G.; DUTERTE, PAOLO Z.; GARCIA, VINCENT J.; UNGAB, ISIDRO T.; ",2020-02-24,LEGISLATIVE FRANCHISES,Republic Act RA11538 enacted on 2021-05-18,Substituted by HB07488
HB06351,AN ACT AMENDING THE FRANCHISE GRANTED TO PHILIPPINE COLLECTIVE MEDIA CORPORATION UNDER REPUBLIC ACT NO. 9773 TO EXPAND THE COVERAGE OF THE FRANCHISE GRANTED AND FOR OTHER PURPOSES,LOCAL,2020-02-19,"ROMUALDEZ, YEDDA MARIE K.; ROMUALDEZ, FERDINAND MARTIN G.; ",2020-02-24,LEGISLATIVE FRANCHISES,REPUBLIC ACT RA11508 (Lapsed into law on 2020-12-21),Substituted by HB06919
HB06352,AN ACT MANDATING THE BUREAU OF JAIL MANAGEMENT AND PENOLOGY TO EXERCISE SUPERVISION AND CONTROL OVER PROVINCIAL JAILS AND APPROPRIATING FUNDS THEREFOR,NATIONAL,2020-02-20,"YU, DIVINA GRACE C.",2020-02-26,JUSTICE,,Pending with the Committee on JUSTICE since 2020-02-26
HB06353,"AN ACT DECLARING THE SAUD BEACH IN THE MUNICIPALITY OF PAGUDPUD, PROVINCE OF ILOCOS NORTE, AS A TOURIST DESTINATION, PROVIDING FOR ITS DEVELOPMENT, AND APPROPRIATING FUNDS THEREFOR",LOCAL,2020-02-20,"FARIÑAS, RIA CHRISTINA G.; FARIÑAS, RUDYS CESAR I G.; ",2020-02-26,TOURISM,"Reported out 2021-08-26 (#01176);Submitted by TOURISM, APPROPRIATIONS",Substituted by HB10095
HB06354,"AN ACT DECLARING THE CAPE BOJEADOR LIGHTHOUSE IN THE MUNICIPALITY OF BURGOS, PROVINCE OF ILOCOS NORTE, AS A TOURIST DESTINATION, PROVIDING FOR ITS DEVELOPMENT, AND APPROPRIATING FUNDS THEREFOR",LOCAL,2020-02-20,"FARIÑAS, RIA CHRISTINA G.; FARIÑAS, RUDYS CESAR I G.; ",2020-02-26,TOURISM,,Pending with the Committee on TOURISM since 2020-02-26
HB06355,"AN ACT DECLARING MAIRA-IRA COVE OR ""BLUE LAGOON"" IN THE MUNICIPALITY OF PAGUDPUD, PROVINCE OF ILOCOS NORTE, AS A TOURIST DESTINATION, PROVIDING FOR ITS DEVELOPMENT, AND APPROPRIATING FUNDS THEREFOR",LOCAL,2020-02-20,"FARIÑAS, RIA CHRISTINA G.; FARIÑAS, RUDYS CESAR I G.; ",2020-02-26,TOURISM,Approved on Second Reading on 2021-09-01,Substituted by HB10008
HB06356,"AN ACT DECLARING THE BASI REVOLT SHRINE IN THE MUNICIPALITY OF PIDDIG, PROVINCE OF ILOCOS NORTE, AS A TOURIST DESTINATION, PROVIDING FOR ITS DEVELOPMENT, AND APPROPRIATING FUNDS THEREFOR",LOCAL,2020-02-20,"FARIÑAS, RIA CHRISTINA G.; FARIÑAS, RUDYS CESAR I G.; ",2020-02-26,TOURISM,Approved on Second Reading on 2021-09-01,Substituted by HB09983
HB06357,AN ACT MANDATING FOOD ESTABLISHMENTS TO DISPLAY THE NUTRITION FACTS AND INFORMATION ON THEIR MENUS,NATIONAL,2020-02-20,"FARIÑAS, RIA CHRISTINA G.; FARIÑAS, RUDYS CESAR I G.; ",2020-02-26,HEALTH,,Pending with the Committee on HEALTH since 2020-02-26
HB06358,"AN ACT INCREASING THE RECRUITMENT QUOTA REQUIREMENT OF FEMALE PHILIPPINE NATIONAL POLICE (PNP) OFFICERS, AMENDING FOR THE PURPOSE SECTION 58 OF REPUBLIC ACT 8551, OTHERWISE KNOWN AS THE ""PHILIPPINE NATIONAL POLICE REFORM AND REORGANIZATION ACT OF 1996'""",NATIONAL,2020-02-20,"HOFER, ANN K.",2020-02-26,PUBLIC ORDER AND SAFETY,,Pending with the Committee on PUBLIC ORDER AND SAFETY since 2020-02-26
HB06359,AN ACT MANDATING THE PHILIPPINE HEALTH INSURANCE CORPORATION TO INCREASE THE HEMODIALYSIS TREATMENT COVERAGE OF MEMBERS OF THE NATIONAL HEALTH INSURANCE PROGRAM TO ONE HUNDRED AND FIFTY-SIX (156) SESSIONS PER YEAR,NATIONAL,2020-02-20,"HOFER, ANN K.",2020-02-26,HEALTH,,Pending with the Committee on HEALTH since 2020-02-26
HB06360,"AN ACT AMENDING SECTION TWO OF REPUBLIC ACT NO. 10868 OTHERWISE KNOWN AS ""AN ACT HONORING AND GRANTING ADDITIONAL BENEFITS AND PRIVILEGES TO FILIPINO CENTENARIANS, AND FOR OTHER PURPOSES""",NATIONAL,2020-02-20,"ABUNDA, MARIA FE R.",2020-02-26,SENIOR CITIZENS,,Pending with the Committee on SENIOR CITIZENS since 2020-02-26
HB06361,AN ACT PROVIDING BENEFITS AND INCENTIVES TO ALL BARANGAY TANODS WHO HAVE RENDERED AT LEAST SIX MONTHS OF SERVICE IN THE BARANGAY,NATIONAL,2020-02-20,"CUARESMA, LUISA LLOREN",2020-02-26,LOCAL GOVERNMENT,,Pending with the Committee on LOCAL GOVERNMENT since 2020-02-26
HB06362,AN ACT ESTABLISHING THE NATIONAL MINIMUM MONTHLY SALARY IN GOVERNMENT AND PROVIDING FUNDS THEREFOR,NATIONAL,2020-02-20,"GAITE, FERDINAND R.; ZARATE, CARLOS ISAGANI T.; CULLAMAT, EUFEMIA ""KA FEMIA"" C.; CASTRO, FRANCE L.; BROSAS, ARLENE D.; ELAGO, SARAH JANE I.; ",2020-02-26,APPROPRIATIONS,,Pending with the Committee on APPROPRIATIONS since 2020-02-26
HB06363,"AN ACT DECLARING JULY 2 OF EVERY YEAR A SPECIAL NONWORKING HOLIDAY IN PASIG CITY TO BE KNOWN AS THE ""ANNIVERSARY DAY OF PASIG CITY""",LOCAL,2020-02-20,"ROMULO, ROMAN T.",2020-02-24,LOCAL GOVERNMENT,,"Approved by the House on 2020-03-09, transmitted to the Senate on 2020-03-11 and received by the Senate on 2020-03-11"
HB06364,"AN ACT CHANGING THE NAME OF TUBLAY SCHOOL OF HOME INDUSTRIES IN BARANGAY CAPONGA, MUNICIPALITY OF TUBLAY, PROVINCE OF BENGUET TO ANDRES ACOP COSALAN SCHOOL OF HOME INDUSTRIES",LOCAL,2020-02-20,"MANGAOANG, ALLEN JESSE C.; GO, MARK O.; ",2020-02-26,BASIC EDUCATION AND CULTURE,,Pending with the Committee on BASIC EDUCATION AND CULTURE since 2020-02-26
